name,label
william higgins,william higgins
abd al-rahman al-maghrebi,abd al-rahman al-maghrebi
عبدالباسط الحاج الحسن حاج حمد,abdelbasit alhaj alhassan haj hamad
عبدالكريم حسين محمد الناصر,abdelkarim hussein mohamed al-nasser
abdelrahman abbas rahama,abdelrahman abbas rahama
عبد الرؤؤف ابو زيد حمزة,abdelraouf abu zaid mohamed hamza
abdelraouf abu zaid mohamed hamza,abdelraouf abu zaid mohamed hamza
عبدالرؤوف بن حبيب الجدي,abderraouf ben habib jdey
abderraouf ben habib jdey,abderraouf ben habib jdey
ikrama,abdikadir mohamed abdikadir
cabdulqadir maxamed cabdulqadir,abdikadir mohamed abdikadir
ikrima,abdikadir mohamed abdikadir
abdikadir mohamed abdikadir,abdikadir mohamed abdikadir
cabdulaqadir mumin,abdikadir mumin
abdiqadir mu’min,abdiqadir mu’min
عبدالر ضا رحمانی فضلی,abdolreza rahmani fazli
abdolreza rahmani fazli,abdolreza rahmani fazli
عبدالرحمن ياسين,abdul rahman yasin
abdul rahman yasin,abdul rahman yasin
نیروی قدس سپاه پاسداران انقلاب اسلامی,abdul reza shahla'i
عبد الرضا شهلايي,abdul reza shahla'i
abdul reza shahla'i,abdul reza shahla'i
عبدالصبور,abdul saboor
abdul saboor,abdul saboor
عبدالولی,abdul wali
abdul wali,abdul wali
قاری ذاکر,abdul zakir
عبدل ذاکر,abdul zakir
abdul zakir,abdul zakir
عبد الباري الكتف,abdulbari al-kotf
abdulbari al-kotf,abdulbari al-kotf
عبدالله أحمد عبدالله,abdullah ahmed abdullah
abdullah ahmed abdullah,abdullah ahmed abdullah
عبدالله نوبهار,abdullah nowbahar
abdullah nowbahar,abdullah nowbahar
abdullahi osman mohamed,abdullahi osman mohamed
cabdullahi yare,abdullahi yare
abdullahi yare,abdullahi yare
أبوعبدالكريم المصري,abu ‘abd al-karim al-masri
أبو عبد الكريم المصري,abu ‘abd al-karim al-masri
abu ‘abd al-karim al-masri,abu ‘abd al-karim al-masri
abu huzeifa,abu huzeifa
abu mus'ab al-barnawi,abu mus’ab al-barnawi
abu oubeïda youssouf al annabi,abu oubeïda youssouf al annabi
axmed cumar,abu ubaidah (direye)
abu ubaidah (direye),abu ubaidah (direye)
abu ubaydah yusuf al-anabi,abu ubaydah yusuf al-anabi
أبو محمد الشمالي,abu-muhammad al-shimali
abu-muhammad al-shimali,abu-muhammad al-shimali
أبو يوسف المهاجر,abu-yusuf al-muhajir
abu-yusuf al-muhajir,abu-yusuf al-muhajir
ابو بکر شیکاؤ,abubakar shekau
abubakar shekau,abubakar shekau
أبو محمد أبو بكر بن محمد الشكويتبدیلی کریں,abubakar shekau
abubakar shekau,abubakar shekau
abukar ali adan,abukar ali adan
أدهم حسين طبجه,adham husayn tabaja
adham husayn tabaja,adham husayn tabaja
عدنان أبو وليد الصحراوي,adnan abu walid al-sahrawi
adnan abu walid al-sahrawi,adnan abu walid al-sahrawi
عدنان حسين كوثراني,adnan hussein kawtharani
adnan hussein kawtharani,adnan hussein kawtharani
ahadon adak,ahadon adak
أحلام أحمد التميمي,ahlam ahmad al-tamimi
ahlam ahmad al-tamimi,ahlam ahmad al-tamimi
أحمد إبراهيم المغسل,ahmad ibrahim al-mughassil
ahmad ibrahim al-mughassil,ahmad ibrahim al-mughassil
axmed iimaan cali,ahmed iman ali
ahmed iman ali,ahmed iman ali
al mahmoud ag baye,al mahmoud ag baye
علي الشعر,ali al-sha'ir
ali al-sha'ir,ali al-sha'ir
علي عطوة,ali atwa
ali atwa,ali atwa
ali gholam shakuri,ali gholam shakuri
cali maxamud rage,ali mohamud rage
ali mohamud rage,ali mohamud rage
ali qasir,ali qasir
علي سعده,ali saade
ali saade,ali saade
علي سعيد بن علي الحوري,ali saed bin ali el-hoorie
ali saed bin ali el-hoorie,ali saed bin ali el-hoorie
علي سيد محمد مصطفى البكري,ali sayyid muhamed mustafa al-bakri
ali sayyid muhamed mustafa al-bakri,ali sayyid muhamed mustafa al-bakri
علي يوسف شرارة,ali youssef charara
ali youssef charara,ali youssef charara
amadou diallo,amadou koufa
amadou koufa,amadou koufa
amadou koufa,amadou koufa
amir dianat,amir dianat
أمير محمد سعيد عبدالرحمن المولى,amir muhammad sa’id abdal-rahman al-mawla
amir muhammad sa’id abdal-rahman al-mawla,amir muhammad sa’id abdal-rahman al-mawla
anatoliy sergeyevich kovalev,anatoliy sergeyevich kovalev
artem valeryevich ochichenko,artem valeryevich ochichenko
أيمن الظواهري,ayman al-zawahiri
ayman al-zawahiri,ayman al-zawahiri
عزیز حقانی,aziz haqqani
aziz haqqani,aziz haqqani
bashir maxamed maxamuud,bashir mohamed mahamoud
carlos alberto garcia camargo,carlos alberto garcia camargo
cemîl bayik,cemil bayik
cemil bayik,cemil bayik
cholo abdi abdullah,cholo abdi abdullah
clíver alcalá cordones,clíver alcalá cordones
امجد فاروقی,daniel pearl
احمد عمر سعید شیخ,daniel pearl
daniel pearl,daniel pearl
dave mankins,dave mankins
diosdado cabello rondón,diosdado cabello rondón
duran kalkan,duran kalkan
earl goen,earl goen
evgeny viktorovich gladkikh,evgeny viktorovich gladkikh
abu-yusif al-tunisi,faker ben abdelaziz boussora
فاكر بن عبد العزيز بوصرّة,faker ben abdelaziz boussora
abu yusif al-tunisi,faker ben abdelaziz boussora
faker ben abdelaziz boussora,faker ben abdelaziz boussora
فاروق السوري,faruq al-suri
faruq al-suri,faruq al-suri
fuad maxamed khalaf,fuad mohamed khalaf
فؤاد شكر,fuad shukr
fuad shukr,fuad shukr
محمد حسين زاده حجازي,general muhammad hussein-zada hejazi
general muhammad hussein-zada hejazi,general muhammad hussein-zada hejazi
гулмурод салимович ҳалимов,gulmurod khalimov
گلمراد خالیموف,gulmurod khalimov
gulmurod khalimov,gulmurod khalimov
حافظ عبدالرحمان مکی,hafiz abdul rahman makki
hafiz abdul rahman makki,hafiz abdul rahman makki
حافظ سعید,hafiz saeed
hafiz saeed,hafiz saeed
حمد الخيري,hamad el khairy
hamad el khairy,hamad el khairy
مصطفی عبداللهی,hamed abdollahi
حامد عبدالهی,hamed abdollahi
hamed abdollahi,hamed abdollahi
حامد الجزائري,hamid al-jaziri
hamid al-jaziri,hamid al-jaziri
حسن عز الدين,hasan izz-al-din
hasan izz-al-din,hasan izz-al-din
حسن نصر الله,hasan nasrallah
hasan nasrullah,hasan nasrallah
hasan nasrallah,hasan nasrallah
حسيب محمد هدوان,hasib muhammad hadwan
hasib muhammad hadwan,hasib muhammad hadwan
xassan afgooye,hassan afgooye
hassan afgooye,hassan afgooye
hassan yaqub ali,hassan yaqub ali
هيثم علي الطبطبائي,haytham ‘ali tabataba’i
haytham ‘ali tabataba’i,haytham ‘ali tabataba’i
henry castellanos garzón,henry castellanos garzón
hernan dario velasquez saldarriaga,hernan dario velasquez saldarriaga
hugo carvajal barrios,hugo carvajal barrios
حسين محمد العمري,husayn muhammed al-umari
husayn muhammed al-umari,husayn muhammed al-umari
hussein ali fidow,hussein ali fidow
إبراهيم أحمد محمود القوصي,ibrahim ahmed mahmoud al-qosi
ibrahim ahmed mahmoud al-qosi,ibrahim ahmed mahmoud al-qosi
إبراهيم البنا,ibrahim al-banna
ibrahim al-banna,ibrahim al-banna
ibrahim xaaji jaamac,ibrahim haji jama
ibrahim haji jama mee'aad,ibrahim haji jama
ibrahim haji jama,ibrahim haji jama
ibrahim ousmane,ibrahim ousmane
إبراهيم صالح محمد اليعقوب,ibrahim salih mohammed al-yacoub
ibrahim salih mohammed al-yacoub,ibrahim salih mohammed al-yacoub
إبراهيم طاهر,ibrahim taher
ibrahim taher,ibrahim taher
ihsan ashour,ihsan ashour
إسماعيل عبد السلام أحمد هنية,ismail haniyeh
إسماعيل هنية,ismail haniyeh
ismail haniyeh,ismail haniyeh
